cart_item_id,user_id,product_id,quantity,added_at
80,307,371,4,2026-07-03 17:28:15
81,224,265,4,2026-07-06 20:25:37
82,419,123,3,2026-07-02 10:34:04
83,376,590,1,2026-06-26 07:11:28
84,84,596,1,2026-06-23 13:07:51
85,164,473,2,2026-06-28 16:11:31
86,84,55,3,2026-06-28 18:23:34
87,215,365,1,2026-06-27 00:51:12
88,150,543,1,2026-07-02 11:20:56
89,100,188,1,2026-07-04 12:48:15
90,386,172,3,2026-06-27 16:12:21
91,424,309,3,2026-07-06 15:17:59
92,358,372,1,2026-07-02 23:19:20
93,297,361,2,2026-06-20 07:30:48
94,71,531,3,2026-06-29 01:17:47
95,399,497,4,2026-06-28 06:14:48
96,472,167,1,2026-06-25 06:55:19
97,80,516,2,2026-06-24 13:45:38
98,408,573,1,2026-06-30 03:07:18
99,236,79,1,2026-07-09 21:00:41
100,68,18,4,2026-06-28 10:50:49
101,160,372,2,2026-07-09 19:57:34
102,227,536,3,2026-06-24 04:19:04
103,364,312,1,2026-07-08 01:40:46
104,418,122,2,2026-06-23 02:58:53
105,439,146,2,2026-06-27 11:05:23
106,65,215,2,2026-06-21 21:47:26
107,218,115,1,2026-06-20 10:57:19
108,397,496,4,2026-06-21 00:46:04
109,101,111,1,2026-07-09 05:59:17
110,338,526,1,2026-07-01 09:15:36
111,61,260,1,2026-06-21 14:35:30
112,155,11,1,2026-07-08 23:45:50
113,64,211,2,2026-06-24 11:38:35
114,344,360,1,2026-06-22 04:52:58
115,75,285,3,2026-06-28 13:10:23
116,83,513,2,2026-07-02 06:07:51
117,292,70,1,2026-07-09 21:26:37
118,297,15,2,2026-07-07 08:59:25
119,99,289,2,2026-07-08 07:14:50
120,276,5,1,2026-06-25 04:40:22
121,472,517,4,2026-06-28 21:28:48
122,358,190,4,2026-07-06 08:21:25
123,491,110,2,2026-06-28 14:41:56
124,195,435,2,2026-07-02 11:34:22
125,117,418,1,2026-07-08 11:33:11
126,161,127,4,2026-06-22 16:15:49
127,267,140,4,2026-07-08 12:03:23
128,185,296,1,2026-06-21 23:54:46
129,168,506,1,2026-06-29 08:09:04
130,146,468,3,2026-07-06 16:14:01
131,500,455,2,2026-07-03 10:40:45
132,209,298,4,2026-06-24 13:58:30
133,439,72,4,2026-07-06 11:37:21
134,189,184,1,2026-07-06 08:43:33
135,252,108,4,2026-06-30 15:11:14
136,268,88,1,2026-06-23 11:31:03
137,203,411,1,2026-07-07 23:54:55
138,474,173,1,2026-06-28 19:52:35
139,500,204,3,2026-06-24 20:39:42
140,305,414,1,2026-06-25 15:39:23
141,430,435,4,2026-06-26 18:14:55
142,392,596,3,2026-07-08 08:34:42
143,405,410,3,2026-07-01 13:11:20
144,342,415,4,2026-07-02 09:55:13
145,143,151,4,2026-06-22 14:56:09
146,63,257,4,2026-07-02 01:40:58
147,119,138,1,2026-06-22 10:01:23
148,378,55,1,2026-07-02 02:11:04
149,348,28,2,2026-06-29 06:53:59
150,310,335,2,2026-06-27 08:21:58
151,319,99,1,2026-07-06 01:06:26
152,385,533,4,2026-07-09 05:47:58
153,239,207,3,2026-07-06 01:41:50
154,255,503,3,2026-07-03 03:59:35
155,176,554,1,2026-07-08 13:02:30
156,17,441,1,2026-06-29 07:28:50
157,231,323,4,2026-06-30 17:48:27
158,236,37,1,2026-06-24 07:02:01
159,286,311,2,2026-07-01 22:18:27
160,221,138,3,2026-07-07 08:56:20
161,200,500,1,2026-07-03 19:22:55
162,346,503,4,2026-07-01 13:14:17
163,288,161,1,2026-06-29 11:59:53
164,135,507,4,2026-07-04 23:23:36
165,347,362,3,2026-06-27 18:41:41
166,32,29,1,2026-06-23 02:40:50
167,429,376,3,2026-07-09 15:35:56
168,380,598,1,2026-07-08 13:45:28
169,457,350,4,2026-06-22 08:42:37
170,220,354,3,2026-06-29 23:57:58
171,180,58,2,2026-06-26 00:14:44
172,121,320,1,2026-07-06 16:47:02
173,34,313,1,2026-06-28 04:39:46
174,87,21,3,2026-06-20 21:46:26
175,236,433,4,2026-06-26 11:19:00
176,11,481,1,2026-06-27 16:22:58
177,194,585,4,2026-06-27 19:49:26
178,294,101,4,2026-06-22 10:17:14
179,354,211,3,2026-07-02 01:22:01
180,258,348,2,2026-07-04 22:09:47
181,154,373,4,2026-06-24 21:31:58
182,255,78,2,2026-06-26 23:23:48
183,136,49,3,2026-07-03 22:06:00
184,206,232,1,2026-07-07 10:05:40
185,433,593,1,2026-07-04 08:47:10
186,173,280,1,2026-07-03 17:58:06
187,411,544,4,2026-06-30 08:48:25
188,108,356,1,2026-07-05 19:32:51
189,422,310,3,2026-06-30 12:11:19
190,340,553,3,2026-06-24 20:33:11
191,213,412,3,2026-07-05 04:04:04
192,264,465,2,2026-06-20 10:50:13
193,322,529,2,2026-07-04 00:02:08
194,256,219,4,2026-06-26 12:05:02
195,480,546,4,2026-07-03 17:47:12
196,373,62,2,2026-06-28 20:12:19
197,237,152,2,2026-06-23 15:39:24
198,383,308,4,2026-06-29 22:59:38
199,164,66,2,2026-06-30 00:15:45
200,137,294,2,2026-06-26 05:23:27
201,352,242,4,2026-06-25 18:55:35
202,59,154,2,2026-06-20 16:08:19
203,126,318,4,2026-07-01 18:45:20
204,287,447,4,2026-07-05 16:51:33
205,464,38,2,2026-06-23 20:49:58
206,140,140,1,2026-06-26 06:31:37
207,405,285,2,2026-07-05 15:19:42
208,437,44,4,2026-07-08 23:41:03
209,11,57,1,2026-06-27 14:51:46
210,309,306,1,2026-06-29 21:05:55
211,460,373,1,2026-06-29 15:12:29
212,483,144,2,2026-06-22 17:12:19
213,293,513,1,2026-07-02 16:03:44
214,341,595,3,2026-07-02 01:12:13
215,453,93,2,2026-07-04 13:25:16
216,63,321,3,2026-07-04 04:23:40
217,378,400,2,2026-06-30 06:20:20
218,112,148,1,2026-06-24 06:02:05
219,110,282,4,2026-06-29 21:53:45
220,131,58,4,2026-07-02 22:46:07
221,192,116,3,2026-07-03 05:55:10
222,217,487,2,2026-06-26 17:47:29
223,451,149,3,2026-07-01 12:50:12
224,367,377,3,2026-06-20 12:16:35
225,331,36,1,2026-07-06 18:21:06
226,470,246,3,2026-07-03 09:59:14
227,197,317,3,2026-07-09 17:10:12
228,351,125,2,2026-06-30 17:43:05
229,199,9,4,2026-06-26 04:51:32
230,155,93,2,2026-06-27 05:15:41
231,108,165,4,2026-07-05 07:47:22
232,163,417,1,2026-06-26 15:38:16
233,444,83,4,2026-07-01 10:25:50
234,378,423,3,2026-07-07 09:54:27
235,217,103,2,2026-07-06 22:53:43
236,134,519,1,2026-06-28 12:58:16
237,216,561,3,2026-07-01 00:02:38
238,356,29,1,2026-07-05 13:37:36
239,329,189,4,2026-07-09 04:48:07
240,329,140,1,2026-06-29 17:24:08
241,103,313,3,2026-07-03 23:25:59
242,43,114,2,2026-06-26 01:24:16
243,265,134,4,2026-07-09 05:44:51
244,481,328,4,2026-07-01 14:40:05
245,448,137,3,2026-06-24 05:03:31
246,352,336,3,2026-06-24 19:43:48
247,44,425,3,2026-06-24 09:57:29
248,202,387,2,2026-06-20 12:04:43
249,486,24,2,2026-06-22 03:49:57
250,499,474,2,2026-06-26 08:29:59
251,360,173,1,2026-06-29 17:37:11
252,317,440,3,2026-06-23 14:56:42
253,46,377,2,2026-07-03 18:26:34
254,61,15,4,2026-07-08 18:30:52
255,472,465,4,2026-06-22 21:02:18
256,115,209,2,2026-07-09 17:50:49
257,401,273,3,2026-07-08 02:50:04
258,254,392,2,2026-06-30 11:15:19
259,439,212,2,2026-06-26 20:50:25
260,373,194,4,2026-06-24 09:04:23
261,210,150,1,2026-06-27 01:02:58
262,500,269,2,2026-07-04 23:49:29
263,231,255,3,2026-07-04 03:33:56
264,351,470,1,2026-06-20 06:00:43
265,241,137,3,2026-07-06 19:42:55
266,204,218,4,2026-07-07 04:42:13
267,217,263,1,2026-06-22 07:30:15
268,286,61,1,2026-06-28 01:54:23
269,477,241,4,2026-06-28 14:23:44
270,311,47,1,2026-06-26 03:45:57
271,259,391,3,2026-06-29 13:55:39
272,344,380,2,2026-07-03 13:58:03
273,22,595,2,2026-06-26 07:37:51
274,87,516,4,2026-06-28 05:35:05
275,450,480,2,2026-06-22 04:13:25
276,163,544,4,2026-06-23 10:36:07
277,134,120,3,2026-06-21 01:43:34
278,66,512,3,2026-07-08 03:38:19
279,185,441,3,2026-06-26 09:20:04
280,314,271,3,2026-06-30 13:51:27
281,458,169,3,2026-07-07 21:15:26
282,252,155,4,2026-06-21 07:00:15
283,97,153,1,2026-06-25 13:54:12
284,94,37,4,2026-06-26 07:35:29
285,84,479,4,2026-06-22 19:35:20
286,459,507,1,2026-06-30 17:12:13
287,183,575,4,2026-07-01 02:39:51
288,253,116,2,2026-06-23 00:02:01
289,179,96,2,2026-06-26 21:30:35
290,93,173,3,2026-07-03 16:06:55
291,457,600,2,2026-07-04 03:56:27
292,498,5,2,2026-06-30 02:34:53
293,472,79,2,2026-07-08 15:32:24
294,256,97,3,2026-06-20 15:07:26
295,146,125,4,2026-06-29 01:36:48
296,303,109,3,2026-06-23 17:34:50
297,15,84,4,2026-07-07 04:16:08
298,338,492,4,2026-07-05 06:02:39
299,490,276,1,2026-06-27 23:54:18
300,497,45,4,2026-06-27 21:16:37
301,486,583,2,2026-06-25 03:07:48
302,442,50,3,2026-06-27 20:15:38
303,409,57,1,2026-07-03 06:44:29
304,488,391,1,2026-06-29 16:21:06
305,131,183,2,2026-07-08 17:04:07
306,444,409,1,2026-06-20 11:56:56
307,437,214,2,2026-06-29 10:19:09
308,400,413,3,2026-07-05 17:00:09
309,386,158,1,2026-06-27 05:54:57
310,252,443,3,2026-07-06 15:01:09
311,309,135,3,2026-07-06 03:41:37
312,50,377,2,2026-07-01 21:13:33
313,229,398,4,2026-06-26 12:24:02
314,289,434,1,2026-07-08 08:41:15
315,217,378,2,2026-06-30 12:53:06
316,323,437,1,2026-06-20 23:33:24
317,263,350,4,2026-07-06 10:03:17
318,115,159,4,2026-07-02 19:09:43
319,323,538,1,2026-06-27 01:20:48
320,240,448,1,2026-07-09 10:56:01
321,245,308,2,2026-06-23 02:26:34
322,351,308,2,2026-07-02 16:43:23
323,219,303,1,2026-07-03 08:58:38
324,40,47,1,2026-07-02 09:28:33
325,218,423,1,2026-07-01 06:40:55
326,339,583,3,2026-06-28 15:04:08
327,131,600,1,2026-07-08 15:46:09
328,258,17,1,2026-07-07 23:22:54
329,339,474,2,2026-07-09 01:58:52
330,94,403,1,2026-06-22 00:31:12
331,214,305,3,2026-07-04 06:04:25
332,371,466,4,2026-07-05 03:23:45
333,414,272,3,2026-07-09 15:51:45
334,96,217,2,2026-06-21 21:34:00
335,383,266,1,2026-06-30 12:42:22
336,274,19,1,2026-06-29 14:03:56
337,60,14,2,2026-07-05 22:01:54
338,245,472,4,2026-07-05 23:08:52
339,495,499,3,2026-07-05 00:18:07
340,417,370,4,2026-07-09 12:44:13
341,155,90,2,2026-06-23 06:42:34
342,8,196,1,2026-07-09 19:20:09
343,9,193,1,2026-06-25 01:53:06
344,247,149,2,2026-06-30 13:51:54
345,432,552,2,2026-06-22 02:09:11
346,155,475,2,2026-07-01 12:07:07
347,217,23,1,2026-06-24 00:45:48
348,463,157,4,2026-07-01 18:33:36
349,242,21,4,2026-07-04 04:55:08
350,125,207,3,2026-07-03 19:43:02
351,425,402,1,2026-06-28 02:28:54
352,5,106,4,2026-06-30 02:09:16
353,435,508,3,2026-06-20 21:33:50
354,250,410,4,2026-07-02 11:03:04
355,303,500,2,2026-07-07 08:06:15
356,32,541,1,2026-06-30 05:50:07
357,296,324,1,2026-06-26 12:01:59
358,458,428,4,2026-06-22 20:07:22
359,254,356,4,2026-07-06 22:19:53
360,224,22,2,2026-06-26 23:46:42
361,372,197,4,2026-06-28 08:18:20
362,225,238,2,2026-07-04 06:20:09
363,466,348,4,2026-06-23 04:24:19
364,453,301,4,2026-06-30 02:50:21
365,427,369,4,2026-07-09 09:53:27
366,498,166,2,2026-06-26 20:32:35
367,354,89,4,2026-06-23 03:12:15
368,89,205,2,2026-07-04 16:52:27
369,252,104,4,2026-07-01 23:36:56
370,156,241,2,2026-07-03 12:22:38
371,25,19,3,2026-06-26 07:55:54
372,183,163,2,2026-07-02 05:17:51
373,17,66,3,2026-06-30 10:51:16
374,59,233,1,2026-07-03 15:22:40
375,115,499,3,2026-06-28 06:15:11
376,402,364,1,2026-07-08 16:36:46
377,450,571,3,2026-06-23 16:04:04
378,437,528,1,2026-07-07 03:30:38
379,26,449,4,2026-07-08 08:15:52
380,57,109,1,2026-07-09 23:47:15
381,288,43,1,2026-06-24 01:18:41
382,323,121,2,2026-06-28 18:40:10
383,81,300,4,2026-07-08 11:52:35
384,260,511,1,2026-06-23 17:53:01
385,332,373,3,2026-07-09 21:11:44
386,71,126,2,2026-06-30 15:47:57
387,497,426,1,2026-06-25 22:54:25
388,428,486,3,2026-06-26 23:02:55
389,259,176,1,2026-06-26 10:57:55
390,191,425,3,2026-07-05 06:40:32
391,341,252,2,2026-07-08 06:46:28
392,386,543,4,2026-07-09 02:35:11
393,117,142,4,2026-06-30 00:49:42
394,471,420,4,2026-07-02 12:40:56
395,407,371,1,2026-06-30 17:49:14
396,75,11,1,2026-06-22 01:23:12
397,174,323,4,2026-07-08 17:56:22
398,85,445,1,2026-06-29 13:05:39
399,389,38,2,2026-07-03 22:42:13
400,30,533,3,2026-06-30 04:15:46
