shipment_id,order_id,courier_name,tracking_number,estimated_delivery,actual_delivery,shipment_status
51,66,Shadowfax,SHA000066,2025-03-05,2025-03-07,Delivered
52,67,Shadowfax,SHA000067,2025-10-12,,Returned
53,68,Delhivery,DEL000068,2025-11-18,,Returned
54,69,Bluedart,BLU000069,2025-12-03,,Returned
55,70,Bluedart,BLU000070,2026-01-13,2026-01-06,Delivered
56,71,Bluedart,BLU000071,2025-04-20,,Returned
57,72,Bluedart,BLU000072,2025-08-19,2025-08-27,Delivered
58,73,Xpressbees,XPR000073,2026-06-27,2026-06-30,Delivered
59,74,Delhivery,DEL000074,2026-05-22,,In Transit
60,75,Bluedart,BLU000075,2025-07-27,2025-07-28,Delivered
61,76,Bluedart,BLU000076,2026-06-16,2026-06-20,Delivered
62,77,Delhivery,DEL000077,2025-04-23,2025-04-19,Delivered
63,80,Delhivery,DEL000080,2026-07-01,,Returned
64,82,Delhivery,DEL000082,2025-09-13,2025-09-18,Delivered
65,83,DTDC,DTD000083,2025-10-01,2025-09-28,Delivered
66,85,Xpressbees,XPR000085,2025-03-12,2025-03-11,Delivered
67,86,Shadowfax,SHA000086,2025-12-14,,Returned
68,87,Ekart,EKA000087,2025-03-17,2025-03-22,Delivered
69,89,DTDC,DTD000089,2025-08-28,2025-08-26,Delivered
70,90,Delhivery,DEL000090,2025-11-22,,Returned
71,91,Shadowfax,SHA000091,2025-06-16,,Returned
72,92,Bluedart,BLU000092,2025-02-13,2025-02-11,Delivered
73,93,Delhivery,DEL000093,2025-01-26,2025-01-28,Delivered
74,94,Xpressbees,XPR000094,2025-08-03,,Returned
75,95,Shadowfax,SHA000095,2025-08-16,,Returned
76,96,Ekart,EKA000096,2026-06-09,2026-06-07,Delivered
77,97,Bluedart,BLU000097,2025-06-05,,Returned
78,98,Delhivery,DEL000098,2025-11-03,2025-11-06,Delivered
79,101,Ekart,EKA000101,2025-09-17,2025-09-14,Delivered
80,102,Shadowfax,SHA000102,2026-03-05,2026-03-01,Delivered
81,105,Shadowfax,SHA000105,2025-09-06,,Returned
82,106,Bluedart,BLU000106,2025-02-12,2025-02-05,Delivered
83,110,Xpressbees,XPR000110,2025-11-18,2025-11-15,Delivered
84,111,Shadowfax,SHA000111,2025-07-10,,Shipped
85,112,DTDC,DTD000112,2025-11-04,2025-11-01,Delivered
86,113,Ekart,EKA000113,2025-10-04,2025-10-04,Delivered
87,114,Bluedart,BLU000114,2025-09-10,,Shipped
88,115,Delhivery,DEL000115,2025-10-27,,Returned
89,116,Bluedart,BLU000116,2025-06-08,2025-06-04,Delivered
90,117,Delhivery,DEL000117,2025-07-21,2025-07-20,Delivered
91,119,Shadowfax,SHA000119,2026-04-19,2026-04-24,Delivered
92,120,Shadowfax,SHA000120,2025-03-06,,Shipped
93,121,Xpressbees,XPR000121,2025-09-19,2025-09-14,Delivered
94,122,Xpressbees,XPR000122,2026-02-15,2026-02-20,Delivered
95,124,DTDC,DTD000124,2025-07-21,2025-07-18,Delivered
96,126,Xpressbees,XPR000126,2026-07-09,2026-07-12,Delivered
97,127,Shadowfax,SHA000127,2025-09-17,,In Transit
98,128,Delhivery,DEL000128,2025-08-16,2025-08-21,Delivered
99,129,Xpressbees,XPR000129,2026-04-20,,Shipped
100,131,DTDC,DTD000131,2026-06-11,2026-06-17,Delivered
101,132,Delhivery,DEL000132,2026-01-08,2026-01-09,Delivered
102,135,Ekart,EKA000135,2025-01-22,2025-01-30,Delivered
103,136,Xpressbees,XPR000136,2025-01-22,,Returned
104,137,Bluedart,BLU000137,2025-10-27,2025-10-29,Delivered
105,138,Delhivery,DEL000138,2025-09-06,2025-09-07,Delivered
106,139,DTDC,DTD000139,2025-03-01,2025-03-04,Delivered
107,140,DTDC,DTD000140,2025-04-05,,In Transit
108,141,Delhivery,DEL000141,2025-09-08,2025-09-05,Delivered
109,142,Ekart,EKA000142,2025-08-27,2025-08-23,Delivered
110,143,Delhivery,DEL000143,2026-03-17,,Shipped
111,144,DTDC,DTD000144,2026-02-10,2026-02-12,Delivered
112,146,Delhivery,DEL000146,2026-07-14,2026-07-17,Delivered
113,147,Bluedart,BLU000147,2025-06-17,2025-06-17,Delivered
114,148,DTDC,DTD000148,2026-02-20,2026-02-16,Delivered
115,149,Ekart,EKA000149,2025-06-08,2025-06-12,Delivered
116,150,Shadowfax,SHA000150,2025-06-11,2025-06-14,Delivered
117,152,Shadowfax,SHA000152,2025-04-24,2025-04-19,Delivered
118,153,Ekart,EKA000153,2025-02-18,2025-02-22,Delivered
119,154,DTDC,DTD000154,2025-12-05,,Shipped
120,155,DTDC,DTD000155,2025-06-13,,Returned
121,157,Shadowfax,SHA000157,2025-09-08,2025-09-09,Delivered
122,158,DTDC,DTD000158,2025-08-17,2025-08-12,Delivered
123,159,Delhivery,DEL000159,2025-04-28,2025-05-02,Delivered
124,161,Bluedart,BLU000161,2025-05-16,,Shipped
125,163,Ekart,EKA000163,2025-05-05,2025-05-05,Delivered
126,165,Bluedart,BLU000165,2025-04-09,,Shipped
127,166,Xpressbees,XPR000166,2026-05-22,,Shipped
128,167,Delhivery,DEL000167,2025-02-04,2025-02-01,Delivered
129,168,Xpressbees,XPR000168,2025-10-20,2025-10-27,Delivered
130,169,Shadowfax,SHA000169,2026-06-17,,Returned
131,170,Delhivery,DEL000170,2025-05-15,,Returned
132,171,Ekart,EKA000171,2025-05-11,2025-05-07,Delivered
133,172,Xpressbees,XPR000172,2025-11-10,2025-11-07,Delivered
134,173,Delhivery,DEL000173,2025-01-21,2025-01-20,Delivered
135,174,Delhivery,DEL000174,2025-09-01,,In Transit
136,175,Bluedart,BLU000175,2026-07-09,2026-07-10,Delivered
137,176,DTDC,DTD000176,2026-04-08,2026-04-06,Delivered
138,178,DTDC,DTD000178,2026-05-02,,Returned
139,179,Ekart,EKA000179,2025-12-11,2025-12-16,Delivered
140,180,Delhivery,DEL000180,2026-07-10,,In Transit
141,181,DTDC,DTD000181,2025-08-24,2025-08-28,Delivered
142,182,Ekart,EKA000182,2025-07-19,2025-07-18,Delivered
143,183,Shadowfax,SHA000183,2025-09-11,2025-09-14,Delivered
144,184,Shadowfax,SHA000184,2026-02-15,,Returned
145,185,DTDC,DTD000185,2025-07-19,2025-07-13,Delivered
146,187,DTDC,DTD000187,2025-04-01,2025-03-30,Delivered
147,188,DTDC,DTD000188,2025-10-22,2025-10-24,Delivered
148,190,Delhivery,DEL000190,2026-05-17,2026-05-21,Delivered
149,191,Shadowfax,SHA000191,2025-04-12,2025-04-05,Delivered
150,192,Delhivery,DEL000192,2025-04-12,2025-04-14,Delivered
151,193,DTDC,DTD000193,2026-01-20,2026-01-20,Delivered
152,194,Ekart,EKA000194,2025-07-03,2025-07-04,Delivered
153,195,Ekart,EKA000195,2025-06-12,2025-06-11,Delivered
154,196,Shadowfax,SHA000196,2025-05-23,,Returned
155,197,Xpressbees,XPR000197,2026-01-06,2026-01-04,Delivered
156,198,DTDC,DTD000198,2025-12-06,,Returned
157,199,Ekart,EKA000199,2026-02-13,2026-02-11,Delivered
158,200,Delhivery,DEL000200,2026-03-18,,Shipped
159,202,Ekart,EKA000202,2026-03-24,2026-03-27,Delivered
160,203,Ekart,EKA000203,2025-01-22,2025-01-18,Delivered
161,204,DTDC,DTD000204,2025-02-10,2025-02-16,Delivered
162,205,Shadowfax,SHA000205,2026-03-23,2026-03-26,Delivered
163,206,Bluedart,BLU000206,2026-02-24,2026-02-21,Delivered
164,207,Delhivery,DEL000207,2025-02-08,,Shipped
165,208,Ekart,EKA000208,2025-04-29,,Shipped
166,210,Delhivery,DEL000210,2025-04-13,2025-04-07,Delivered
167,211,DTDC,DTD000211,2025-07-01,,Returned
168,212,DTDC,DTD000212,2025-05-18,,Shipped
169,213,Delhivery,DEL000213,2025-05-06,2025-05-08,Delivered
170,214,Delhivery,DEL000214,2026-01-15,,Returned
171,215,Shadowfax,SHA000215,2026-01-28,,In Transit
172,216,Delhivery,DEL000216,2026-02-18,2026-02-24,Delivered
173,217,DTDC,DTD000217,2025-05-09,,Returned
174,218,Shadowfax,SHA000218,2025-11-10,2025-11-17,Delivered
175,219,Ekart,EKA000219,2025-12-09,,Returned
176,220,Ekart,EKA000220,2026-04-22,2026-04-19,Delivered
177,221,Ekart,EKA000221,2025-02-15,,In Transit
178,222,Delhivery,DEL000222,2025-11-25,2025-11-28,Delivered
179,223,Bluedart,BLU000223,2025-07-08,2025-07-06,Delivered
180,225,Ekart,EKA000225,2025-08-13,2025-08-15,Delivered
181,226,Bluedart,BLU000226,2026-04-10,,Shipped
182,227,DTDC,DTD000227,2025-03-04,2025-03-09,Delivered
183,228,Bluedart,BLU000228,2025-09-14,,Returned
184,230,Xpressbees,XPR000230,2025-08-15,2025-08-16,Delivered
185,231,Xpressbees,XPR000231,2025-12-26,2025-12-29,Delivered
186,232,Delhivery,DEL000232,2026-02-20,,In Transit
187,233,Bluedart,BLU000233,2026-03-05,2026-03-05,Delivered
188,234,Shadowfax,SHA000234,2026-04-26,2026-04-24,Delivered
189,235,DTDC,DTD000235,2026-06-27,2026-06-28,Delivered
190,236,Bluedart,BLU000236,2025-03-21,2025-03-14,Delivered
191,237,DTDC,DTD000237,2026-04-06,,Returned
192,238,Xpressbees,XPR000238,2026-03-20,2026-03-13,Delivered
193,239,Delhivery,DEL000239,2026-02-24,,Returned
194,240,Shadowfax,SHA000240,2025-10-27,2025-10-27,Delivered
195,241,Xpressbees,XPR000241,2026-06-26,2026-06-30,Delivered
196,242,DTDC,DTD000242,2026-04-01,2026-04-02,Delivered
197,243,Delhivery,DEL000243,2025-03-05,2025-03-11,Delivered
198,244,Xpressbees,XPR000244,2025-12-16,2025-12-14,Delivered
199,245,DTDC,DTD000245,2025-05-07,,Returned
200,246,Ekart,EKA000246,2025-12-13,2025-12-16,Delivered
201,247,Ekart,EKA000247,2025-07-28,2025-07-28,Delivered
202,248,Delhivery,DEL000248,2026-07-13,2026-07-07,Delivered
203,249,DTDC,DTD000249,2026-05-06,2026-05-11,Delivered
204,250,DTDC,DTD000250,2026-06-25,2026-06-22,Delivered
205,251,Shadowfax,SHA000251,2025-04-20,,Returned
206,252,Bluedart,BLU000252,2025-01-22,,Shipped
207,253,Shadowfax,SHA000253,2026-02-11,,In Transit
208,254,DTDC,DTD000254,2025-06-10,2025-06-15,Delivered
209,255,Delhivery,DEL000255,2025-11-01,,Returned
210,257,Bluedart,BLU000257,2025-10-15,,Returned
211,258,Xpressbees,XPR000258,2025-11-20,2025-11-23,Delivered
212,259,Shadowfax,SHA000259,2025-03-14,2025-03-11,Delivered
213,260,Shadowfax,SHA000260,2025-07-17,2025-07-22,Delivered
214,262,Shadowfax,SHA000262,2025-11-05,2025-11-08,Delivered
215,263,DTDC,DTD000263,2025-06-18,2025-06-20,Delivered
216,264,Ekart,EKA000264,2025-10-11,2025-10-14,Delivered
217,265,Xpressbees,XPR000265,2026-04-06,2026-03-31,Delivered
218,266,Xpressbees,XPR000266,2025-08-01,2025-08-02,Delivered
219,268,Shadowfax,SHA000268,2025-06-18,2025-06-20,Delivered
220,270,DTDC,DTD000270,2026-03-24,,In Transit
221,271,Shadowfax,SHA000271,2025-01-30,2025-02-06,Delivered
222,272,DTDC,DTD000272,2025-11-16,,Returned
223,273,Xpressbees,XPR000273,2025-07-17,2025-07-16,Delivered
224,275,Bluedart,BLU000275,2025-09-05,2025-09-01,Delivered
225,276,DTDC,DTD000276,2026-03-24,2026-03-26,Delivered
226,277,Shadowfax,SHA000277,2025-03-17,2025-03-14,Delivered
227,278,Xpressbees,XPR000278,2026-06-08,,Returned
228,279,Xpressbees,XPR000279,2025-11-12,2025-11-06,Delivered
229,280,Shadowfax,SHA000280,2025-08-05,,Returned
230,281,Ekart,EKA000281,2026-03-26,2026-03-21,Delivered
231,282,DTDC,DTD000282,2025-08-24,,Returned
232,283,Bluedart,BLU000283,2026-06-12,,Returned
233,284,Xpressbees,XPR000284,2025-12-26,2025-12-21,Delivered
234,285,Shadowfax,SHA000285,2025-08-02,,Returned
235,286,DTDC,DTD000286,2026-04-13,2026-04-08,Delivered
236,287,Delhivery,DEL000287,2026-03-10,,Returned
237,289,Delhivery,DEL000289,2025-10-02,2025-10-09,Delivered
238,290,Shadowfax,SHA000290,2026-02-15,,Returned
239,292,Shadowfax,SHA000292,2025-08-14,2025-08-17,Delivered
240,293,Ekart,EKA000293,2025-10-25,2025-10-30,Delivered
241,294,Bluedart,BLU000294,2026-03-14,2026-03-16,Delivered
242,295,Shadowfax,SHA000295,2025-06-09,,Shipped
243,296,Ekart,EKA000296,2025-12-18,2025-12-18,Delivered
244,298,Delhivery,DEL000298,2026-01-02,2026-01-06,Delivered
245,299,Xpressbees,XPR000299,2025-11-10,2025-11-07,Delivered
246,300,Xpressbees,XPR000300,2025-09-23,,Returned
247,301,Bluedart,BLU000301,2025-08-27,2025-08-26,Delivered
248,302,Xpressbees,XPR000302,2025-07-15,,Returned
249,303,Ekart,EKA000303,2025-02-07,2025-02-03,Delivered
250,304,Bluedart,BLU000304,2025-04-18,,In Transit
251,305,Xpressbees,XPR000305,2025-08-21,,Shipped
252,307,Delhivery,DEL000307,2026-06-24,2026-06-20,Delivered
253,310,Ekart,EKA000310,2025-07-18,2025-07-15,Delivered
254,311,Delhivery,DEL000311,2025-04-17,2025-04-16,Delivered
255,312,DTDC,DTD000312,2025-12-04,2025-11-29,Delivered
256,313,Xpressbees,XPR000313,2025-09-10,,Shipped
257,314,Bluedart,BLU000314,2025-03-31,,Returned
258,315,Xpressbees,XPR000315,2025-08-28,2025-09-03,Delivered
259,316,Ekart,EKA000316,2025-02-21,2025-02-16,Delivered
260,317,Delhivery,DEL000317,2025-03-22,2025-03-20,Delivered
261,319,Xpressbees,XPR000319,2025-04-04,2025-04-06,Delivered
262,320,Bluedart,BLU000320,2025-11-22,2025-11-19,Delivered
263,322,Xpressbees,XPR000322,2026-04-22,2026-04-18,Delivered
264,323,DTDC,DTD000323,2025-07-31,2025-08-04,Delivered
265,324,Delhivery,DEL000324,2026-03-14,,In Transit
266,325,Ekart,EKA000325,2025-11-02,2025-10-31,Delivered
267,326,Shadowfax,SHA000326,2026-02-06,2026-02-09,Delivered
268,329,Ekart,EKA000329,2025-01-26,2025-01-21,Delivered
269,330,Delhivery,DEL000330,2026-04-23,2026-04-23,Delivered
270,331,Bluedart,BLU000331,2026-04-13,,Returned
271,332,Xpressbees,XPR000332,2025-08-23,2025-08-27,Delivered
272,333,Bluedart,BLU000333,2025-07-02,2025-06-24,Delivered
273,334,Shadowfax,SHA000334,2025-03-02,2025-02-27,Delivered
274,335,Shadowfax,SHA000335,2026-03-06,2026-03-11,Delivered
275,336,Xpressbees,XPR000336,2026-06-07,2026-06-09,Delivered
276,337,Delhivery,DEL000337,2025-01-26,2025-01-21,Delivered
277,338,Bluedart,BLU000338,2026-06-03,,Shipped
278,340,Bluedart,BLU000340,2026-05-24,,Returned
279,342,Bluedart,BLU000342,2026-02-07,2026-02-10,Delivered
280,343,Xpressbees,XPR000343,2025-04-15,2025-04-16,Delivered
281,345,Bluedart,BLU000345,2025-09-16,2025-09-15,Delivered
282,347,Xpressbees,XPR000347,2025-05-18,,Shipped
283,348,DTDC,DTD000348,2025-08-08,2025-08-11,Delivered
284,349,DTDC,DTD000349,2025-09-22,,Returned
285,350,Ekart,EKA000350,2025-09-11,2025-09-11,Delivered
286,351,Delhivery,DEL000351,2026-04-27,2026-05-02,Delivered
287,352,DTDC,DTD000352,2026-04-24,,Returned
288,353,Delhivery,DEL000353,2026-01-07,2026-01-07,Delivered
289,354,Ekart,EKA000354,2025-12-25,2025-12-21,Delivered
290,355,Ekart,EKA000355,2026-06-23,2026-06-24,Delivered
291,356,DTDC,DTD000356,2026-01-28,,Returned
292,358,Ekart,EKA000358,2025-03-29,2025-03-28,Delivered
293,359,Ekart,EKA000359,2026-01-10,2026-01-16,Delivered
294,360,Xpressbees,XPR000360,2025-11-29,2025-11-29,Delivered
295,362,Shadowfax,SHA000362,2025-06-21,,In Transit
296,363,Delhivery,DEL000363,2026-06-29,2026-06-26,Delivered
297,364,Bluedart,BLU000364,2026-04-28,2026-04-26,Delivered
298,365,Bluedart,BLU000365,2025-10-10,,In Transit
299,367,Xpressbees,XPR000367,2025-03-19,,Shipped
300,368,Ekart,EKA000368,2025-07-03,,Returned
301,369,Delhivery,DEL000369,2026-06-12,2026-06-16,Delivered
302,370,Ekart,EKA000370,2026-04-17,2026-04-21,Delivered
303,371,Shadowfax,SHA000371,2026-02-12,2026-02-12,Delivered
304,372,Bluedart,BLU000372,2025-06-29,,Returned
305,373,Ekart,EKA000373,2025-12-04,,Returned
306,374,Shadowfax,SHA000374,2025-04-05,2025-04-06,Delivered
307,375,Xpressbees,XPR000375,2025-07-08,2025-07-04,Delivered
308,376,Shadowfax,SHA000376,2026-02-03,,Returned
309,377,Xpressbees,XPR000377,2025-12-10,2025-12-03,Delivered
310,379,Ekart,EKA000379,2025-06-02,,In Transit
311,380,Delhivery,DEL000380,2026-01-07,,Shipped
312,381,Shadowfax,SHA000381,2025-11-25,,In Transit
313,382,Ekart,EKA000382,2025-09-04,2025-08-29,Delivered
314,383,Bluedart,BLU000383,2025-08-12,,Returned
315,384,DTDC,DTD000384,2025-04-03,2025-04-05,Delivered
316,385,Shadowfax,SHA000385,2026-07-15,2026-07-14,Delivered
317,389,Delhivery,DEL000389,2025-11-08,,Shipped
318,390,Xpressbees,XPR000390,2025-07-10,2025-07-09,Delivered
319,392,Shadowfax,SHA000392,2026-03-07,,Returned
320,393,Bluedart,BLU000393,2025-07-14,,Returned
321,394,Ekart,EKA000394,2025-07-12,2025-07-09,Delivered
322,395,Shadowfax,SHA000395,2026-04-30,,Shipped
323,396,DTDC,DTD000396,2026-04-30,2026-05-05,Delivered
324,397,Delhivery,DEL000397,2025-06-10,,In Transit
325,399,Bluedart,BLU000399,2025-09-21,,Returned
326,401,Bluedart,BLU000401,2025-09-22,,In Transit
327,402,Bluedart,BLU000402,2025-06-23,2025-06-28,Delivered
328,403,Shadowfax,SHA000403,2025-08-21,2025-08-13,Delivered
329,404,DTDC,DTD000404,2026-07-03,,Returned
330,405,Shadowfax,SHA000405,2025-03-16,2025-03-19,Delivered
331,406,Ekart,EKA000406,2026-07-06,2026-07-09,Delivered
332,407,Delhivery,DEL000407,2025-06-17,,Returned
333,409,Ekart,EKA000409,2026-04-01,2026-03-29,Delivered
334,410,Ekart,EKA000410,2025-08-17,,In Transit
335,412,Bluedart,BLU000412,2026-03-07,,Shipped
336,414,Bluedart,BLU000414,2025-09-30,2025-09-24,Delivered
337,415,Ekart,EKA000415,2025-04-26,2025-04-24,Delivered
338,417,Bluedart,BLU000417,2025-05-21,,Returned
339,418,Ekart,EKA000418,2026-01-21,2026-01-24,Delivered
340,419,Delhivery,DEL000419,2025-03-07,,Shipped
341,420,Shadowfax,SHA000420,2025-04-27,,In Transit
342,421,Delhivery,DEL000421,2025-05-18,2025-05-15,Delivered
343,422,Bluedart,BLU000422,2025-09-14,2025-09-07,Delivered
344,423,Delhivery,DEL000423,2026-04-24,,Returned
345,424,Xpressbees,XPR000424,2026-01-10,2026-01-15,Delivered
346,425,DTDC,DTD000425,2025-04-22,2025-04-23,Delivered
347,426,Shadowfax,SHA000426,2025-06-08,,Returned
348,428,Bluedart,BLU000428,2025-02-15,2025-02-15,Delivered
349,429,Delhivery,DEL000429,2026-05-16,2026-05-18,Delivered
350,430,Delhivery,DEL000430,2025-10-25,2025-10-31,Delivered
351,431,Shadowfax,SHA000431,2025-04-25,2025-04-21,Delivered
352,433,Xpressbees,XPR000433,2026-07-09,,Shipped
353,434,Ekart,EKA000434,2025-06-27,2025-06-24,Delivered
354,435,Bluedart,BLU000435,2025-01-16,2025-01-20,Delivered
355,436,DTDC,DTD000436,2025-07-23,2025-07-26,Delivered
356,437,Delhivery,DEL000437,2025-06-29,,Shipped
357,438,Bluedart,BLU000438,2025-09-10,2025-09-06,Delivered
358,439,Shadowfax,SHA000439,2025-03-27,,Returned
359,440,Ekart,EKA000440,2026-05-29,,In Transit
360,441,Delhivery,DEL000441,2025-04-07,,Returned
361,442,Xpressbees,XPR000442,2025-11-15,,Returned
362,443,Shadowfax,SHA000443,2026-05-23,,Returned
363,444,Bluedart,BLU000444,2025-10-22,,Returned
364,445,DTDC,DTD000445,2025-11-22,,Returned
365,446,Ekart,EKA000446,2026-05-30,2026-05-26,Delivered
366,447,Xpressbees,XPR000447,2025-09-25,2025-09-28,Delivered
367,449,Shadowfax,SHA000449,2026-06-17,2026-06-21,Delivered
368,450,Bluedart,BLU000450,2025-09-25,2025-09-28,Delivered
369,451,Bluedart,BLU000451,2025-05-12,2025-05-15,Delivered
370,452,Shadowfax,SHA000452,2025-08-07,,Returned
371,453,Xpressbees,XPR000453,2025-07-27,,In Transit
372,454,Delhivery,DEL000454,2026-01-12,2026-01-09,Delivered
373,457,Xpressbees,XPR000457,2025-12-20,,Returned
374,459,DTDC,DTD000459,2025-05-20,,Returned
375,460,DTDC,DTD000460,2026-04-11,,Returned
376,461,Delhivery,DEL000461,2025-08-08,2025-08-03,Delivered
377,462,Xpressbees,XPR000462,2026-03-27,2026-03-22,Delivered
378,464,Delhivery,DEL000464,2025-12-26,,Returned
379,465,Xpressbees,XPR000465,2025-04-12,2025-04-13,Delivered
380,466,Delhivery,DEL000466,2026-03-20,2026-03-14,Delivered
381,467,Xpressbees,XPR000467,2026-06-16,,Returned
382,468,Delhivery,DEL000468,2026-06-04,2026-05-27,Delivered
383,471,Shadowfax,SHA000471,2025-11-08,2025-11-10,Delivered
384,474,Ekart,EKA000474,2026-05-17,,Returned
385,475,Delhivery,DEL000475,2025-06-11,,Returned
386,476,Delhivery,DEL000476,2025-03-12,2025-03-08,Delivered
387,477,Delhivery,DEL000477,2026-03-26,,Shipped
388,478,Shadowfax,SHA000478,2025-07-25,,Shipped
389,479,DTDC,DTD000479,2025-05-13,2025-05-14,Delivered
390,485,DTDC,DTD000485,2026-01-21,2026-01-26,Delivered
391,486,Ekart,EKA000486,2025-05-12,2025-05-11,Delivered
392,487,Xpressbees,XPR000487,2026-01-12,2026-01-18,Delivered
393,489,Shadowfax,SHA000489,2026-05-19,2026-05-20,Delivered
394,490,Bluedart,BLU000490,2025-12-30,2026-01-01,Delivered
395,491,Delhivery,DEL000491,2025-05-12,2025-05-11,Delivered
396,492,DTDC,DTD000492,2025-01-25,2025-01-28,Delivered
397,493,Delhivery,DEL000493,2026-01-24,2026-01-19,Delivered
398,494,Ekart,EKA000494,2026-07-17,2026-07-17,Delivered
399,495,Delhivery,DEL000495,2026-04-19,,Returned
400,498,DTDC,DTD000498,2026-01-29,2026-02-01,Delivered
401,499,Bluedart,BLU000499,2026-06-17,2026-06-15,Delivered
402,500,DTDC,DTD000500,2026-07-12,,Returned
403,501,Delhivery,DEL000501,2026-01-31,2026-01-28,Delivered
404,502,Xpressbees,XPR000502,2025-03-06,2025-03-06,Delivered
405,503,Shadowfax,SHA000503,2026-05-20,2026-05-20,Delivered
406,504,Bluedart,BLU000504,2025-01-23,,Shipped
407,505,Xpressbees,XPR000505,2026-04-29,,Returned
408,506,Bluedart,BLU000506,2025-06-18,2025-06-20,Delivered
409,507,Delhivery,DEL000507,2025-05-24,2025-05-23,Delivered
410,508,Ekart,EKA000508,2025-03-06,2025-03-14,Delivered
411,509,Shadowfax,SHA000509,2025-01-28,,Returned
412,510,Ekart,EKA000510,2026-01-29,2026-01-28,Delivered
413,511,Delhivery,DEL000511,2026-01-15,,Shipped
414,512,Delhivery,DEL000512,2025-07-08,2025-07-06,Delivered
415,513,Bluedart,BLU000513,2026-03-23,2026-03-25,Delivered
416,514,DTDC,DTD000514,2025-04-08,2025-04-10,Delivered
417,516,Xpressbees,XPR000516,2025-03-09,2025-03-12,Delivered
418,517,Bluedart,BLU000517,2026-07-17,2026-07-18,Delivered
419,518,Ekart,EKA000518,2025-09-21,,In Transit
420,519,Delhivery,DEL000519,2025-11-17,,Returned
421,520,Xpressbees,XPR000520,2026-03-27,2026-03-29,Delivered
422,521,Delhivery,DEL000521,2025-06-14,,In Transit
423,522,Delhivery,DEL000522,2026-01-14,,Returned
424,523,DTDC,DTD000523,2025-06-22,,Returned
425,524,Xpressbees,XPR000524,2026-05-17,,Shipped
426,525,Shadowfax,SHA000525,2026-02-06,2026-02-03,Delivered
427,526,Delhivery,DEL000526,2025-10-24,2025-10-27,Delivered
