product_id,category_id,title,description,price,sku,created_at
65,14,Bajaj Kids T-Shirt,Kids T-Shirt by Bajaj - new arrival in Kids Wear.,72166.21,SKU-KID-0065,2026-06-03 12:33:03
66,17,SG Bed Frame,Bed Frame by SG - premium quality in Furniture.,38520.32,SKU-FUR-0066,2026-03-02 13:04:24
67,21,Lenovo Kajal,Kajal by Lenovo - top rated in Makeup.,68969.07,SKU-MAK-0067,2026-02-09 21:43:58
68,15,LG Sneakers,Sneakers by LG - top rated in Footwear.,21256.52,SKU-FOO-0068,2025-09-18 20:39:06
69,11,Lenovo DSLR Camera,DSLR Camera by Lenovo - value for money in Cameras.,62515.69,SKU-CAM-0069,2025-06-16 04:22:14
70,17,Philips Bed Frame,Bed Frame by Philips - best seller in Furniture.,18772.73,SKU-FUR-0070,2025-11-23 08:02:34
71,25,Nivea Thriller Novel,Thriller Novel by Nivea - best seller in Fiction.,84857.2,SKU-FIC-0071,2025-08-20 22:32:35
72,24,Urban Ladder Foam Roller,Foam Roller by Urban Ladder - premium quality in Yoga & Wellness.,72027.16,SKU-YOG-0072,2025-06-21 07:08:21
73,20,Samsung Conditioner,Conditioner by Samsung - value for money in Haircare.,30383.43,SKU-HAI-0073,2025-11-11 01:00:32
74,11,Mamaearth Action Camera,Action Camera by Mamaearth - best seller in Cameras.,81641.21,SKU-CAM-0074,2026-04-05 17:40:51
75,9,Noise Sports Earphones,Sports Earphones by Noise - value for money in Headphones.,16518.27,SKU-HEA-0075,2025-07-22 01:39:54
76,21,Nike Kajal,Kajal by Nike - value for money in Makeup.,25186.44,SKU-MAK-0076,2025-11-24 10:32:16
77,7,Mamaearth Moto Edge,Moto Edge by Mamaearth - best seller in Mobiles.,89990.72,SKU-MOB-0077,2025-09-29 19:44:01
78,27,Samsung Notebook Set,Notebook Set by Samsung - new arrival in Office Supplies.,18101.59,SKU-OFF-0078,2025-01-16 19:54:39
79,11,Classmate Mirrorless Camera,Mirrorless Camera by Classmate - best seller in Cameras.,50843.47,SKU-CAM-0079,2025-06-19 07:09:12
80,18,SG Table Lamp,Table Lamp by SG - premium quality in Home Decor.,86742.38,SKU-HOM-0080,2025-03-30 23:02:50
81,10,Samsung GPS Sports Watch,GPS Sports Watch by Samsung - top rated in Smart Watches.,51905.55,SKU-SMA-0081,2025-10-19 12:13:43
82,9,Boat Over-Ear Headphones,Over-Ear Headphones by Boat - top rated in Headphones.,76555.33,SKU-HEA-0082,2026-04-12 08:29:01
83,25,Adidas Mystery Novel,Mystery Novel by Adidas - premium quality in Fiction.,38667.35,SKU-FIC-0083,2025-10-15 19:56:30
84,17,Philips Study Table,Study Table by Philips - value for money in Furniture.,9676.39,SKU-FUR-0084,2025-10-09 07:40:27
85,20,Urban Ladder Hair Oil,Hair Oil by Urban Ladder - premium quality in Haircare.,86898.54,SKU-HAI-0085,2025-07-29 18:42:02
86,22,Philips Treadmill,Treadmill by Philips - premium quality in Gym Equipment.,24300.92,SKU-GYM-0086,2025-07-10 16:21:41
87,21,Bajaj Foundation,Foundation by Bajaj - premium quality in Makeup.,55006.79,SKU-MAK-0087,2025-10-22 08:52:21
88,17,Nivea Office Chair,Office Chair by Nivea - new arrival in Furniture.,32062.28,SKU-FUR-0088,2025-07-20 16:02:16
89,26,Apple Textbook,Textbook by Apple - premium quality in Academic.,1110.57,SKU-ACA-0089,2025-05-29 09:32:59
90,22,Cello Yoga Mat,Yoga Mat by Cello - value for money in Gym Equipment.,58201.08,SKU-GYM-0090,2026-01-17 05:34:22
91,16,Prestige Electric Kettle,Electric Kettle by Prestige - new arrival in Kitchen Appliances.,27696.3,SKU-KIT-0091,2026-03-28 16:58:54
92,18,Urban Ladder Wall Art,Wall Art by Urban Ladder - premium quality in Home Decor.,29904.06,SKU-HOM-0092,2025-12-19 10:25:29
93,14,Urban Ladder Kids T-Shirt,Kids T-Shirt by Urban Ladder - new arrival in Kids Wear.,28535.21,SKU-KID-0093,2026-02-21 05:13:41
94,13,Urban Ladder Saree,Saree by Urban Ladder - value for money in Women's Wear.,25028.67,SKU-WOM-0094,2026-04-03 22:41:47
95,16,Dell Mixer Grinder,Mixer Grinder by Dell - top rated in Kitchen Appliances.,20626.99,SKU-KIT-0095,2025-05-20 09:01:58
96,11,Sony Mirrorless Camera,Mirrorless Camera by Sony - best seller in Cameras.,49890.64,SKU-CAM-0096,2025-04-09 02:01:13
97,7,Puma OnePlus Nord,OnePlus Nord by Puma - value for money in Mobiles.,43187.54,SKU-MOB-0097,2025-09-22 15:13:08
98,22,LG Dumbbell Set,Dumbbell Set by LG - value for money in Gym Equipment.,44357.84,SKU-GYM-0098,2026-03-25 04:27:14
99,11,Yonex DSLR Camera,DSLR Camera by Yonex - top rated in Cameras.,7848.25,SKU-CAM-0099,2025-07-12 18:36:53
100,20,Lakme Hair Oil,Hair Oil by Lakme - value for money in Haircare.,40655.2,SKU-HAI-0100,2025-12-10 20:55:03
101,16,SG Mixer Grinder,Mixer Grinder by SG - best seller in Kitchen Appliances.,85292.6,SKU-KIT-0101,2025-06-11 09:26:50
102,9,Lenovo Over-Ear Headphones,Over-Ear Headphones by Lenovo - new arrival in Headphones.,49767.9,SKU-HEA-0102,2025-05-02 13:58:46
103,26,Puma Competitive Exam Book,Competitive Exam Book by Puma - best seller in Academic.,20985.57,SKU-ACA-0103,2025-08-08 14:15:08
104,14,Penguin Kids Frock,Kids Frock by Penguin - premium quality in Kids Wear.,59573.24,SKU-KID-0104,2025-06-03 15:37:02
105,27,Apple Pen Set,Pen Set by Apple - new arrival in Office Supplies.,6611.6,SKU-OFF-0105,2025-05-09 21:01:29
106,21,Bajaj Lipstick,Lipstick by Bajaj - top rated in Makeup.,63035.08,SKU-MAK-0106,2025-07-31 11:02:12
107,21,SG Lipstick,Lipstick by SG - best seller in Makeup.,80069.18,SKU-MAK-0107,2025-09-08 08:30:35
108,9,Classmate Over-Ear Headphones,Over-Ear Headphones by Classmate - premium quality in Headphones.,52922.64,SKU-HEA-0108,2025-01-17 02:43:23
109,25,HP Mystery Novel,Mystery Novel by HP - value for money in Fiction.,46801.95,SKU-FIC-0109,2025-12-10 11:45:12
110,25,Penguin Thriller Novel,Thriller Novel by Penguin - value for money in Fiction.,87220.16,SKU-FIC-0110,2026-01-01 01:37:43
111,17,HP Study Table,Study Table by HP - top rated in Furniture.,37164.73,SKU-FUR-0111,2026-01-20 20:12:43
112,24,Bajaj Meditation Cushion,Meditation Cushion by Bajaj - best seller in Yoga & Wellness.,28442.64,SKU-YOG-0112,2025-09-09 02:15:36
113,7,Mamaearth Moto Edge,Moto Edge by Mamaearth - value for money in Mobiles.,37308.63,SKU-MOB-0113,2025-05-26 16:47:31
114,27,Sony Sticky Notes Pack,Sticky Notes Pack by Sony - new arrival in Office Supplies.,24180.65,SKU-OFF-0114,2025-04-12 18:15:48
115,22,Samsung Dumbbell Set,Dumbbell Set by Samsung - premium quality in Gym Equipment.,71977.37,SKU-GYM-0115,2025-05-04 00:22:58
116,24,LG Yoga Block,Yoga Block by LG - new arrival in Yoga & Wellness.,89303.69,SKU-YOG-0116,2025-03-30 03:04:06
117,22,Lakme Resistance Bands,Resistance Bands by Lakme - top rated in Gym Equipment.,37510.03,SKU-GYM-0117,2026-01-10 18:26:38
118,24,Prestige Meditation Cushion,Meditation Cushion by Prestige - new arrival in Yoga & Wellness.,82982.76,SKU-YOG-0118,2026-01-30 18:17:48
119,15,Nike Sneakers,Sneakers by Nike - premium quality in Footwear.,24191.11,SKU-FOO-0119,2025-01-02 23:49:11
120,25,Noise Thriller Novel,Thriller Novel by Noise - value for money in Fiction.,48563.54,SKU-FIC-0120,2025-09-26 01:34:35
121,19,Nike Face Serum,Face Serum by Nike - new arrival in Skincare.,88272.56,SKU-SKI-0121,2025-07-05 11:39:28
122,20,Nike Shampoo,Shampoo by Nike - value for money in Haircare.,63528.46,SKU-HAI-0122,2025-10-24 02:39:49
123,11,Sony Mirrorless Camera,Mirrorless Camera by Sony - new arrival in Cameras.,45304.75,SKU-CAM-0123,2026-04-04 09:45:38
124,21,Lakme Lipstick,Lipstick by Lakme - value for money in Makeup.,1577.21,SKU-MAK-0124,2025-04-22 23:15:06
125,9,Apple Sports Earphones,Sports Earphones by Apple - top rated in Headphones.,56167.69,SKU-HEA-0125,2025-11-05 17:37:34
126,24,Nike Yoga Block,Yoga Block by Nike - value for money in Yoga & Wellness.,78538.99,SKU-YOG-0126,2025-01-28 21:12:27
127,27,Lenovo Desk Organizer,Desk Organizer by Lenovo - best seller in Office Supplies.,39169.64,SKU-OFF-0127,2025-03-18 11:06:46
128,21,Cello Foundation,Foundation by Cello - top rated in Makeup.,81326.48,SKU-MAK-0128,2025-02-05 17:20:01
129,18,Philips Photo Frame Set,Photo Frame Set by Philips - new arrival in Home Decor.,22127.93,SKU-HOM-0129,2025-11-17 01:12:04
130,12,LG Denim Jeans,Denim Jeans by LG - premium quality in Men's Wear.,78400.4,SKU-MEN-0130,2026-04-27 08:14:18
131,25,Lenovo Fantasy Novel,Fantasy Novel by Lenovo - value for money in Fiction.,57482.84,SKU-FIC-0131,2025-12-23 23:00:54
132,21,Classmate Kajal,Kajal by Classmate - premium quality in Makeup.,14385.21,SKU-MAK-0132,2025-12-10 02:26:23
133,27,Cello Sticky Notes Pack,Sticky Notes Pack by Cello - top rated in Office Supplies.,41222.86,SKU-OFF-0133,2025-08-23 15:57:22
134,10,Prestige Fit Band,Fit Band by Prestige - premium quality in Smart Watches.,32433.53,SKU-SMA-0134,2025-08-18 19:27:39
135,19,Samsung Sunscreen SPF50,Sunscreen SPF50 by Samsung - premium quality in Skincare.,77882.05,SKU-SKI-0135,2025-02-08 02:15:03
136,16,SG Electric Kettle,Electric Kettle by SG - top rated in Kitchen Appliances.,19865.61,SKU-KIT-0136,2025-05-28 16:19:01
137,27,Penguin Notebook Set,Notebook Set by Penguin - best seller in Office Supplies.,27941.17,SKU-OFF-0137,2025-12-09 09:32:23
138,11,Puma DSLR Camera,DSLR Camera by Puma - top rated in Cameras.,67322.78,SKU-CAM-0138,2025-05-17 10:10:05
139,23,HP Badminton Racket,Badminton Racket by HP - top rated in Outdoor Sports.,82280.6,SKU-OUT-0139,2026-01-10 06:17:40
140,17,Bajaj Study Table,Study Table by Bajaj - best seller in Furniture.,12838.98,SKU-FUR-0140,2025-06-25 05:45:45
141,19,LG Sunscreen SPF50,Sunscreen SPF50 by LG - value for money in Skincare.,1448.9,SKU-SKI-0141,2026-02-21 18:25:58
142,15,Penguin Sneakers,Sneakers by Penguin - top rated in Footwear.,9928.48,SKU-FOO-0142,2025-07-01 14:45:22
143,24,SG Yoga Block,Yoga Block by SG - new arrival in Yoga & Wellness.,58358.18,SKU-YOG-0143,2026-05-09 12:47:15
144,27,Boat Sticky Notes Pack,Sticky Notes Pack by Boat - new arrival in Office Supplies.,4271.14,SKU-OFF-0144,2025-01-29 21:41:03
145,10,Mamaearth Fit Band,Fit Band by Mamaearth - new arrival in Smart Watches.,35099.4,SKU-SMA-0145,2025-10-16 04:09:21
146,20,Philips Hair Oil,Hair Oil by Philips - best seller in Haircare.,75064.64,SKU-HAI-0146,2026-04-24 04:35:20
147,18,Bajaj Table Lamp,Table Lamp by Bajaj - value for money in Home Decor.,85558.85,SKU-HOM-0147,2025-10-09 16:57:28
148,24,Adidas Foam Roller,Foam Roller by Adidas - best seller in Yoga & Wellness.,35951.94,SKU-YOG-0148,2025-05-28 10:17:16
149,9,Penguin Over-Ear Headphones,Over-Ear Headphones by Penguin - premium quality in Headphones.,87403.18,SKU-HEA-0149,2025-02-09 06:51:06
150,11,Dell Action Camera,Action Camera by Dell - best seller in Cameras.,74716.64,SKU-CAM-0150,2026-03-07 11:10:55
151,14,Noise Kids Frock,Kids Frock by Noise - premium quality in Kids Wear.,453.63,SKU-KID-0151,2025-04-23 09:10:45
152,12,Classmate Formal Shirt,Formal Shirt by Classmate - best seller in Men's Wear.,12034.93,SKU-MEN-0152,2025-10-06 06:07:12
153,17,HP Study Table,Study Table by HP - top rated in Furniture.,4904.43,SKU-FUR-0153,2025-11-23 23:16:24
154,22,Adidas Treadmill,Treadmill by Adidas - premium quality in Gym Equipment.,53510.21,SKU-GYM-0154,2025-12-18 01:59:30
155,23,Bajaj Badminton Racket,Badminton Racket by Bajaj - best seller in Outdoor Sports.,5661.12,SKU-OUT-0155,2026-01-08 00:52:11
156,10,Cello Smart Watch Pro,Smart Watch Pro by Cello - value for money in Smart Watches.,6798.47,SKU-SMA-0156,2025-03-04 18:02:37
157,9,Apple Over-Ear Headphones,Over-Ear Headphones by Apple - premium quality in Headphones.,57049.29,SKU-HEA-0157,2026-03-02 22:06:17
158,26,Puma Textbook,Textbook by Puma - value for money in Academic.,45597.49,SKU-ACA-0158,2025-12-01 03:29:48
159,27,Philips Pen Set,Pen Set by Philips - value for money in Office Supplies.,79949.57,SKU-OFF-0159,2025-11-18 10:02:38
160,20,Nike Shampoo,Shampoo by Nike - value for money in Haircare.,28263.62,SKU-HAI-0160,2025-07-17 23:29:24
161,22,LG Dumbbell Set,Dumbbell Set by LG - best seller in Gym Equipment.,8571.06,SKU-GYM-0161,2025-03-17 00:05:29
162,11,Sony Action Camera,Action Camera by Sony - premium quality in Cameras.,86103.89,SKU-CAM-0162,2026-03-13 06:32:13
163,20,Classmate Hair Serum,Hair Serum by Classmate - value for money in Haircare.,78153.67,SKU-HAI-0163,2025-02-09 23:01:27
164,16,Boat Induction Cooktop,Induction Cooktop by Boat - premium quality in Kitchen Appliances.,45764.65,SKU-KIT-0164,2025-05-01 04:22:46
165,10,Mamaearth Smart Watch Pro,Smart Watch Pro by Mamaearth - top rated in Smart Watches.,10515.7,SKU-SMA-0165,2025-08-05 08:53:16
166,20,SG Shampoo,Shampoo by SG - top rated in Haircare.,2799.0,SKU-HAI-0166,2025-08-01 06:07:45
167,18,HP Wall Clock,Wall Clock by HP - new arrival in Home Decor.,51054.63,SKU-HOM-0167,2025-11-08 07:09:42
168,9,Prestige Over-Ear Headphones,Over-Ear Headphones by Prestige - value for money in Headphones.,40936.39,SKU-HEA-0168,2025-05-03 06:19:17
169,25,Sony Mystery Novel,Mystery Novel by Sony - new arrival in Fiction.,14334.41,SKU-FIC-0169,2026-04-25 21:20:18
170,15,Classmate Sneakers,Sneakers by Classmate - value for money in Footwear.,43811.42,SKU-FOO-0170,2025-12-10 08:18:03
171,23,Adidas Cricket Bat,Cricket Bat by Adidas - value for money in Outdoor Sports.,10156.9,SKU-OUT-0171,2026-04-06 16:49:25
172,16,Lenovo Mixer Grinder,Mixer Grinder by Lenovo - value for money in Kitchen Appliances.,88602.22,SKU-KIT-0172,2025-02-12 13:12:35
173,13,Apple Saree,Saree by Apple - top rated in Women's Wear.,29664.39,SKU-WOM-0173,2025-01-07 00:05:45
174,12,Prestige Denim Jeans,Denim Jeans by Prestige - premium quality in Men's Wear.,63388.68,SKU-MEN-0174,2026-01-24 13:33:57
175,18,Prestige Wall Clock,Wall Clock by Prestige - best seller in Home Decor.,39371.52,SKU-HOM-0175,2025-12-24 02:26:25
176,25,Yonex Thriller Novel,Thriller Novel by Yonex - value for money in Fiction.,63912.01,SKU-FIC-0176,2025-11-21 10:22:47
177,7,HP iPhone,iPhone by HP - premium quality in Mobiles.,41515.7,SKU-MOB-0177,2025-10-09 01:25:23
178,14,Yonex Kids Frock,Kids Frock by Yonex - value for money in Kids Wear.,47250.84,SKU-KID-0178,2025-11-04 09:37:33
179,14,HP Kids Frock,Kids Frock by HP - best seller in Kids Wear.,46040.4,SKU-KID-0179,2025-03-30 13:36:38
180,18,Urban Ladder Photo Frame Set,Photo Frame Set by Urban Ladder - new arrival in Home Decor.,21415.94,SKU-HOM-0180,2025-04-24 17:55:05
181,26,Penguin Reference Guide,Reference Guide by Penguin - best seller in Academic.,16106.72,SKU-ACA-0181,2026-05-03 17:48:48
182,25,Classmate Thriller Novel,Thriller Novel by Classmate - premium quality in Fiction.,57939.67,SKU-FIC-0182,2026-05-01 01:55:47
183,11,LG Mirrorless Camera,Mirrorless Camera by LG - value for money in Cameras.,39909.28,SKU-CAM-0183,2025-08-24 04:58:55
184,8,Lakme IdeaPad,IdeaPad by Lakme - best seller in Laptops.,28073.62,SKU-LAP-0184,2025-12-18 00:17:06
185,16,Penguin Mixer Grinder,Mixer Grinder by Penguin - best seller in Kitchen Appliances.,55426.75,SKU-KIT-0185,2026-01-29 20:25:45
186,24,Sony Foam Roller,Foam Roller by Sony - value for money in Yoga & Wellness.,81831.69,SKU-YOG-0186,2026-03-21 00:27:10
187,26,Lakme Competitive Exam Book,Competitive Exam Book by Lakme - new arrival in Academic.,86202.47,SKU-ACA-0187,2025-12-16 22:21:34
188,23,Sony Football,Football by Sony - new arrival in Outdoor Sports.,63743.43,SKU-OUT-0188,2025-12-08 07:24:57
189,18,Puma Photo Frame Set,Photo Frame Set by Puma - value for money in Home Decor.,36906.49,SKU-HOM-0189,2025-09-20 19:37:14
190,27,LG Desk Organizer,Desk Organizer by LG - top rated in Office Supplies.,8685.63,SKU-OFF-0190,2025-10-28 06:04:44
191,11,LG Mirrorless Camera,Mirrorless Camera by LG - premium quality in Cameras.,59791.37,SKU-CAM-0191,2025-09-29 17:07:55
192,19,SG Moisturizer,Moisturizer by SG - best seller in Skincare.,27999.45,SKU-SKI-0192,2025-10-20 13:48:40
193,23,Penguin Cricket Bat,Cricket Bat by Penguin - value for money in Outdoor Sports.,45861.27,SKU-OUT-0193,2025-01-15 03:50:30
194,13,Nivea Western Dress,Western Dress by Nivea - new arrival in Women's Wear.,20542.57,SKU-WOM-0194,2025-04-17 20:24:14
195,10,Mamaearth GPS Sports Watch,GPS Sports Watch by Mamaearth - premium quality in Smart Watches.,3588.72,SKU-SMA-0195,2025-09-19 13:44:34
196,26,Noise Competitive Exam Book,Competitive Exam Book by Noise - new arrival in Academic.,16438.97,SKU-ACA-0196,2026-05-01 06:00:23
197,8,Adidas ThinkPad,ThinkPad by Adidas - new arrival in Laptops.,87268.06,SKU-LAP-0197,2026-04-20 06:19:25
198,21,Mamaearth Foundation,Foundation by Mamaearth - new arrival in Makeup.,27989.22,SKU-MAK-0198,2025-12-31 07:05:04
199,25,Bajaj Thriller Novel,Thriller Novel by Bajaj - top rated in Fiction.,70074.54,SKU-FIC-0199,2026-01-26 14:51:36
200,13,Apple Saree,Saree by Apple - best seller in Women's Wear.,57776.88,SKU-WOM-0200,2025-10-16 07:53:42
201,10,LG Smart Watch Pro,Smart Watch Pro by LG - new arrival in Smart Watches.,24695.66,SKU-SMA-0201,2026-02-03 17:35:19
202,14,Adidas Kids Frock,Kids Frock by Adidas - best seller in Kids Wear.,37456.74,SKU-KID-0202,2025-11-04 22:26:15
203,19,Adidas Face Wash,Face Wash by Adidas - new arrival in Skincare.,2730.24,SKU-SKI-0203,2025-03-18 23:02:35
204,11,Sony DSLR Camera,DSLR Camera by Sony - top rated in Cameras.,82581.18,SKU-CAM-0204,2026-01-02 23:11:53
